Created At,Locations,Organization ID,Organization Name,Organization Logo URL,Organization Slug,Organization Topics,Organization Industry Tags,Organization Stage,Organization Head Count,Source,Slug,Title,URL,Featured,Has Description
1697198560,['Remote'],18528,ThoughtExchange,https://cdn.filestackcontent.com/qH89fzZRHalHe4v8NhQd,thoughtexchange,"['B2B', 'Productivity', 'SaaS', 'Software']","['Information Technology', 'Software']",series_b,3,career_page,30715871-customer-success-manager-education-vertical-future-opportunities,Customer Success Manager (Education Vertical) - Future Opportunities,https://jobs.lever.co/thoughtexchange/49af4c00-ff22-4055-aafb-0a72ca21301a,False,True
1697198041,"['Toronto, ON, Canada']",9062,Wealthsimple,https://cdn.filepicker.io/api/file/OHrNXzARYKOYMg9MHlMa,wealthsimple,"['500+', 'C100 alumni']","['Finance', 'Software']",other,5,career_page,30715158-help-centre-content-specialist,Help Centre Content Specialist,https://jobs.lever.co/wealthsimple/8da28958-1b0c-4207-894b-4cbdad22224b,False,True
1697196708,"['Waterloo, ON, Canada']",21102,eSentire,https://cdn.filestackcontent.com/LFohtHgMSkqB48eLrPcN,esentire,"['100-499', 'B2B', 'Cybersecurity', 'SaaS', 'Software', 'Team true north']","['Finance', 'Information Technology', 'Security', 'Software']",other,4,career_page,30712832-customer-success-manager,Customer Success Manager,https://canr57.dayforcehcm.com/CandidatePortal/en-US/esentire/Posting/View/2780,False,True
1697196706,"['Waterloo, ON, Canada']",11720,Magnet Forensics,"https://cdn.filestackcontent.com/output=f:webp,t:true,q:80,c:true/cache=expiry:max/resize=w:340/output=f:webp,t:true,q:80,c:true/cache=expiry:max/resize=w:340/BL38eTqGTgGogtuYNtkS",magnet-forensics,[],"['Information Technology', 'Software']",other,4,career_page,30712824-operations-analyst,Operations Analyst,https://jobs.lever.co/magnetforensics/f16f59e9-674e-4be2-b854-21b2b7a60f55,False,True
1697196706,"['Ottawa, ON, Canada']",11720,Magnet Forensics,"https://cdn.filestackcontent.com/output=f:webp,t:true,q:80,c:true/cache=expiry:max/resize=w:340/output=f:webp,t:true,q:80,c:true/cache=expiry:max/resize=w:340/BL38eTqGTgGogtuYNtkS",magnet-forensics,[],"['Information Technology', 'Software']",other,4,career_page,30712822-operations-analyst,Operations Analyst,https://jobs.lever.co/magnetforensics/839d7ec4-d59d-4677-8449-1b9fbde28c60,False,True
1697196495,['Remote'],15279,D2L,https://cdn.filestackcontent.com/vXcmdEPORRabl5dcn21i,d2l,"['500+', 'B2B', 'Education', 'Software']","['Education', 'Software']",ipo,5,career_page,30712559-skills-consultant,Skills Consultant,https://www.d2l.com/careers/jobs/?job_id=5431352&gh_jid=5431352,False,True
1697195984,"['Medicine Hat, AB, Canada']",18136,Farmer's Edge Laboratories,https://cdn.filestackcontent.com/jfAhYTFeSAa6UiGDZAJR,farmer-s-edge-laboratories,"['Agriculture', 'B2B', 'Software']","['Agriculture and Farming', 'Food', 'Hardware', 'Information Technology', 'Software', 'Sustainability']",ipo,4,career_page,30711647-farm-soil-sampler-seasonal,Farm Soil Sampler - Seasonal,https://farmersedge.applicantpro.com/jobs/3095752,False,False
1697195983,"['Lethbridge, AB, Canada']",18136,Farmer's Edge Laboratories,https://cdn.filestackcontent.com/jfAhYTFeSAa6UiGDZAJR,farmer-s-edge-laboratories,"['Agriculture', 'B2B', 'Software']","['Agriculture and Farming', 'Food', 'Hardware', 'Information Technology', 'Software', 'Sustainability']",ipo,4,career_page,30711641-farm-soil-sampler-seasonal,Farm Soil Sampler - Seasonal,https://farmersedge.applicantpro.com/jobs/3095606,False,False
1697195814,"['Canada', 'Remote']",17438,Nest Wealth,https://cdn.filestackcontent.com/ZkS2KQpDQWBcByUfJQsY,nest-wealth,"['B2C', 'Finance', 'SaaS', 'Software']","['Finance', 'Software']",other,3,career_page,30711338-account-executive,Account Executive,https://jobs.lever.co/nestwealth/6b5949cf-3b97-433d-866b-2b79c84f5d1a,False,True
1697195774,"['Waterloo, ON, Canada']",11236,Arctic Wolf,https://cdn.filestackcontent.com/Sx4RbOQDKr4lauSjrAlg,arctic-wolf,"['500+', 'B2B', 'Cybersecurity', 'Software', 'Team true north']","['Information Technology', 'Security', 'Software']",other,5,career_page,30711272-manager-concierge-security,"Manager, Concierge Security",https://arcticwolf.wd1.myworkdayjobs.com/External/job/Waterloo-ON-CAN/Manager--Concierge-Security_R23_1002,False,True
